"";"H1_D";"H1_E";"H1_F";"H1_L4";"H1_L5";"H2_D";"H2_E";"H2_F";"H2_L4";"H2_L5";"H3_D";"H3_E";"H3_F";"H3_L4";"H3_L5";"H4_D";"H4_E";"H4_F";"H4_L4";"H4_L5";"H5_D";"H5_E";"H5_F";"H5_L4";"H5_L5";"H6_D";"H6_E";"H6_F";"H6_L4";"H6_L5";"H7_D";"H7_E";"H7_F";"H7_L4";"H7_L5";"H8_D";"H8_E";"H8_F";"H8_L4";"H8_L5";"H9_D";"H9_E";"H9_F";"H9_L4";"H9_L5";"H10_D";"H10_E";"H10_F";"H10_L4";"H10_L5";"H11_D";"H11_E";"H11_F";"H11_L4";"H11_L5";"H12_D";"H12_E";"H12_F";"H12_L4";"H12_L5"
"P28";0,888888888888889;0;0,666666666666667;0,333333333333333;0;0,777777777777778;0;0,333333333333333;0;0;0;0;0;0,125;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0,846153846153846;0;0;0;0;0;0;0;0;0;0,866666666666667;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0,875;0;0;0;0
"P31";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0,142857142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P37";0;0;0,857142857142857;0;0;0;0;0,733333333333333;0;0;0;0;0,730769230769231;0;0;0;0;0;0;0;0;0;0,0666666666666667;0;0;0;0;0,642857142857143;0;0;0;0;0;0;0;0;0;0,888888888888889;0;0;0;0;0,916666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;1;0;0
"P38";0,390243902439024;0,731707317073171;0,390243902439024;0;0;0,222222222222222;0,888888888888889;0,037037037037037;0;0;0;0,555555555555556;0;0;0;0,0909090909090909;0,363636363636364;0;0;0;0;0,444444444444444;0;0;0;0;0,9;0;0;0;0,8;0,8;0;0;0;0,25;0,55;0,05;0;0;0,142857142857143;0,571428571428571;0;0;0;0,30952380952381;0,547619047619048;0;0;0;0,214285714285714;0,714285714285714;0;0;0;0,578947368421053;0,368421052631579;0;0;0
"P39";0,157894736842105;0,578947368421053;0,105263157894737;0;0;0,0666666666666667;0,8;0,2;0;0;0;0,461538461538462;0;0,285714285714286;0;0;0;0;0;0;0;0,777777777777778;0;0;0;0,0714285714285714;1;0;0;0;0,777777777777778;0,555555555555556;0;0;0;0,40625;0,53125;0;0;0;0,263157894736842;0,473684210526316;0,0526315789473684;0;0;0,8;0,733333333333333;0;0;0;0;0,777777777777778;0;0;0;0,866666666666667;0,866666666666667;0;0;0
"P40";0,333333333333333;0,333333333333333;0,333333333333333;0;0;0;0,6;0,0666666666666667;0;0;0,111111111111111;0;0;0;0;0;0,166666666666667;0;0;0;0,1;0,55;0;0;0;0;0,222222222222222;0;0;0;0,153846153846154;0,307692307692308;0,0769230769230769;0;0;0,35;0,55;0;0;0;0,0714285714285714;0,571428571428571;0;0;0;0,111111111111111;0,666666666666667;0;0;0;0,1;0,65;0;0;0;0,538461538461538;0,846153846153846;0;0;0
"P41";0,0714285714285714;0,0714285714285714;0,142857142857143;0;0;0;0,65;0,05;0;0;0;0,25;0;0;0;0;0;0;0;0;0;0,285714285714286;0,0476190476190476;0;0;0;0,4;0,0666666666666667;0;0;0,452380952380952;0,380952380952381;0,0714285714285714;0;0;0,4;0,6;0;0;0;0,037037037037037;0,555555555555556;0,111111111111111;0;0;0,409090909090909;0,590909090909091;0;0;0;0,0769230769230769;0,307692307692308;0,0769230769230769;0;0;0,466666666666667;0,533333333333333;0,0333333333333333;0;0
"P42";0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0,666666666666667;0;0;0;0;1;0;0;0;0;1;0;0;0;0,6;1;0;0;0;0,666666666666667;1;0;0;0;0;1;0;0;0;0,833333333333333;0,833333333333333;0;0;0;0,222222222222222;1;0;0;0;0,571428571428571;1;0;0;0
"P43";0,222222222222222;0,333333333333333;0;0;0;0;0,333333333333333;0,666666666666667;0;0;0,25;0,5625;0,25;0;0;0;1;0;0;0;0;0,333333333333333;0;0;0;0;0,705882352941177;0;0;0;0,25;0,0833333333333333;0,25;0;0;0,142857142857143;0;0;0;0;0;0,333333333333333;0;0;0;0,15;0,25;0,35;0;0;0;0,222222222222222;0;0;0;0,4;0,4;0;0;0
"P44";0,222222222222222;0,111111111111111;0,888888888888889;0;0;0;0;0,333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0,333333333333333;0,555555555555556;0;0;0;0,875;0,25;1;0;0;0;0;0;0;0;0,6;0,333333333333333;0;0;0;1;0;0;0;0;0,958333333333333;0,166666666666667;0,0416666666666667;0;0;1;0;0;0;0
"P45";0,65;0,35;0,05;0;0;0;0,375;0;0;0;0;0;0,111111111111111;0;0;0;1;0;0;0;0;0,333333333333333;0;0;0;0,9;0,9;0;0;0;0,111111111111111;0,222222222222222;0;0;0;0,625;0,625;0;0;0;0,473684210526316;0,157894736842105;0;0;0;0,578947368421053;0,526315789473684;0;0;0;0,55;0,35;0,05;0;0;0,523809523809524;0,19047619047619;0;0;0
"P46";0,952380952380952;0,714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333333333;0,666666666666667;0;0;0;0,666666666666667;0,444444444444444;0,0555555555555556;0;0;0,7;0,55;0;0,15;0;0,333333333333333;0,666666666666667;0;0;0;0;0;0;0;0;0;0,25;0;0;0;0;0;0;0;0
"P47";1;0,666666666666667;0,0952380952380952;0;0;0;0;0;0;0;0;0;0;0;0;0;0,583333333333333;0;0;0;0;0,75;0;0,333333333333333;0;1;0,666666666666667;0;0;0;0,333333333333333;0;0;0;0;0,571428571428571;0,214285714285714;0;0;0;0,222222222222222;0,888888888888889;0;0;0;0;0,666666666666667;0;0;0;0,19047619047619;0,714285714285714;0;0;0;0,2;0,8;0;0;0
"P49";0,4;0,4;0;0;0;0;0,6;0,133333333333333;0;0;0;0,769230769230769;0;0;0;0;0,666666666666667;0;0;0;0;0,740740740740741;0;0;0;0,1;0,65;0;0;0;0,444444444444444;0,388888888888889;0;0;0;0,425;0,625;0,025;0;0;0,238095238095238;0,619047619047619;0;0;0;0,45;0,35;0;0;0;0;0,866666666666667;0;0;0;0,777777777777778;1;0;0;0
"P50";0;0;0,0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,2;0;0;0;0;0;0;0;0;1;0;0;0;0;0,0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,655172413793103;0;0
"P51";0,866666666666667;0,4;0;0;0;0;0,6;0;0;0;0;0,272727272727273;0;0;0;0;0,1;0;0;0;0;0,45;0;0;0;0,625;0,416666666666667;0,125;0;0;0,133333333333333;0,0666666666666667;0,0666666666666667;0;0;0,533333333333333;0,533333333333333;0;0;0;0,842105263157895;0,157894736842105;0,0526315789473684;0;0;0,472222222222222;0,166666666666667;0;0;0;0,133333333333333;0,466666666666667;0;0;0;0,0588235294117647;0,470588235294118;0;0;0
"P52";1;1;0;0;0;0,1;0,8;0,1;0;0;0;1;0;0;0;0,545454545454545;1;0;0;0;0;0,625;0,125;0;0;1;0,666666666666667;0;0;0;0,928571428571429;1;0;0;0;0,928571428571429;0,571428571428571;0;0;0;1;0,857142857142857;0;0;0;0,533333333333333;0,633333333333333;0;0;0;0,888888888888889;0,888888888888889;0;0;0;0,866666666666667;0,933333333333333;0;0;0
"P54";1;1;0;0;0;0,0714285714285714;1;0;0;0;0;0,888888888888889;0;0;0;0,166666666666667;1;0;0;0;0;0,875;0;0;0;0,888888888888889;0,888888888888889;0;0;0;0,56;0,56;0;0,285714285714286;0;0,866666666666667;0,6;0;0;0;0,888888888888889;1;0;0;0;0,2;1;0,0666666666666667;0;0;0,653846153846154;0,923076923076923;0;0,142857142857143;0;0,266666666666667;1;0;0;0
